translation "Kitchen knife","Coltello da cucina"
translation "Knife","Coltello"
translation "Hunter's knife","Coltello da caccia"
translation "Dagger","Pugnale"
translation "Bone dagger","Pugnale d'osso"
translation "Shadow dagger","Pugnale d'ombra"
translation "Long dagger","Pugnale lungo"
translation "Royal dagger","Pugnale regale"
translation "New race dagger","Pugnale dei Raanaar"
translation "Poisonous Kitchen knife","Coltello da cucina avvelenato"
translation "Poisonous Knife","Coltello avvelenato"
translation "Poisonous Dagger","Pugnale avvelenato"
translation "Poisonous Bone dagger","Pugnale d'osso avvelenato"
translation "Poisonous Long dagger","Pugnale lungo avvelenato"
translation "Poisonous Royal dagger","Pugnale regale avvelenato"
translation "Poisonous New race dagger","Pugnale dei Raanaar"
translation "Training sword","Spada da addestramento"
translation "Short sword","Stocco"
translation "Scimitar","Scimitarra"
translation "Sabre","Sciabola"
translation "Bone sword","Spada d'osso"
translation "Cutlass","Coltellaccio"
translation "Broad Sword","Spadone"
translation "Shadow Sword","Spada d'ombra"
translation "Long Sword","Spada lunga"
translation "Bastard Sword","Spada bastarda"
translation "Deathknight's sword","Spada del Cavaliere della Morte"
translation "New race sword","Spada dei Raanaar"
translation "Soul Drinker","Prosciugatore d'anime"
translation "Queen of Fire","Regina del Fuoco"
translation "Sherminator's Sword of Pain","Spada del Dolore di Sherminator"
translation "Poisonous Training sword","Spada da addestramento avvelenata"
translation "Poisonous Short sword","Stocco avvelenato"
translation "Poisonous Scimitar","Scimitarra avvelenata"
translation "Poisonous Sabre","Scaibola avvelenata"
translation "Poisonous Bone sword","Spada d'osso avvelenata"
translation "Poisonous Cutlass","Coltellaccio avvelenato"
translation "Poisonous Broad Sword","Spadone avvelenato"
translation "Poisonous Long Sword","Spada lunga avvelenata"
translation "Poisonous Bastard Sword","Spada bastarda avvelenata"
translation "Poisonous Deathknight's sword","Spada del Cavaliere della Morte avvelenata"
translation "Poisonous New race sword","Spada dei Raanaar avvelenata"
translation "Club","Clava"
translation "Spiked Club","Clava chiodata"
translation "Maul","Maglio"
translation "Bone club","Clava d'osso"
translation "Mace","Mazza"
translation "Morning Star","Mazzafrusto"
translation "Shadow Club","Clava d'ombra"
translation "Flail","Flagello"
translation "Sceptre","Scettro"
translation "New race club","Clava dei Raanaar"
translation "Arm bone club","Clava d'ulna"
translation "Fist of Doom","Pugno del Fato"
translation "Poisonous Club","Clava avvelenata"
translation "Poisonous Spiked Club","Clava chiodata avvelenata"
translation "Poisonous Maul","Maglio avvelenato"
translation "Poisonous Bone club","Clava d'osso avvelenata"
translation "Poisonous Mace","Mazza avvelenata"
translation "Poisonous Morning Star","Mazzafrusto avvelenata"
translation "Poisonous Flail","Flagello avvelenato"
translation "Poisonous Sceptre","Scettro avvelenato"
translation "Poisonous New race club","Clava dei Raanaar avvelenata"
translation "Small Axe","Accetta"
translation "Axe","Ascia"
translation "Cleaver","Mannaia"
translation "Bone axe","Ascia d'osso"
translation "Broad Axe","Ascia larga"
translation "Woodcutter's axe","Accetta da boscaiolo"
translation "Shadow Axe","Ascia d'ombra"
translation "Large Axe","Ascia grande"
translation "New race axe","Ascia dei Raanaar"
translation "Poisonous Small Axe","Accetta avvelenata"
translation "Poisonous Axe","Ascia avvelenata"
translation "Poisonous Cleaver","Mannaia avvelenata"
translation "Poisonous Bone axe","Ascia d'osso avvelenata"
translation "Poisonous Broad Axe","Ascia larga avvelenata"
translation "Poisonous Woodcutter's axe","Accetta da boscaiolo avvelenata"
translation "Poisonous Large Axe","Ascia grande avvelenata"
translation "Poisonous New race axe","Ascia dei Raanaar avvelenata"
translation "Spear","Lancia"
translation "Partisan","Partigiana"
